,Country,year,Revenue,II,UP,CPS,EI,IA,lnRevenue,lnII,lnUP,lnCPS,lnEI,lnIA,,,,
45,7,2014,1630.631,0.92,4916377,69,0.854,2529.1,7.396722335,-0.083381609,15.40808244,4.234106505,-0.157824085,7.835618787,,,,
46,7,2015,1741.326,0.919,4988134,76,0.861,2672.8,7.462402171,-0.084469157,15.42257245,4.33073334,-0.149660775,7.890881891,,,,
47,7,2016,1864.689,0.922,5058968,75,0.865,2812.1,7.530849562,-0.081210055,15.43667307,4.317488114,-0.145025772,7.941686814,,,,
48,7,2017,1936.609,0.924,5110858,75,0.871,2946,7.568693784,-0.079043207,15.44687785,4.317488114,-0.138113302,7.988203597,,,,
49,7,2018,2002.331,0.927,5153759,76,0.871,3081.6,7.602067281,-0.075801713,15.45523691,4.33073334,-0.138113302,8.033204222,,,,
50,8,2012,145.283,0.757,5008847,27,0.665,198.6,4.978683564,-0.278392026,15.42671631,3.295836866,-0.407968238,5.291292752,,,,
51,8,2013,153.969,0.765,5098727,28,0.667,213,5.036751283,-0.267879445,15.44450146,3.33220451,-0.404965233,5.361292166,,,,
52,8,2014,159.917,0.771,5189181,28,0.673,216,5.074654931,-0.260066905,15.46208644,3.33220451,-0.396009949,5.375278408,,,,
53,8,2015,167.681,0.769,5279540,29,0.68,192.2,5.122063365,-0.262664309,15.47934953,3.36729583,-0.385662481,5.258536497,,,,
54,8,2016,181.082,0.758,5368846,30,0.685,204.4,5.198949967,-0.277071893,15.49612355,3.401197382,-0.378336441,5.320078858,,,,
55,8,2017,196.128,0.76,5453517,31,0.689,245.4,5.278767507,-0.274436846,15.51177128,3.433987204,-0.372514008,5.502889532,,,,
56,8,2018,214.398,0.759,5534481,25,0.694,263.3,5.367834101,-0.275753502,15.52650835,3.218875825,-0.365283318,5.573294067,,,,
57,9,2012,67.797,0.89,1153855,51,0.664,806.2,4.216517946,-0.116533816,13.95861907,3.931825633,-0.40947313,6.692331851,,,,
58,9,2013,74.206,0.896,1168206,48,0.674,916.3,4.306845009,-0.109814866,13.9709798,3.871201011,-0.394525168,6.820343822,,,,
59,9,2014,88.72,0.892,1187971,48,0.685,1045.2,4.485485343,-0.114289146,13.98775737,3.871201011,-0.378336441,6.951963534,,,,
